,,,,,
"10000,Order",Add,Contains,Remove,,
RB Tree,28,9,15,,
LLRB,48,13,23,,
BST,182,169,5,,
,,,,,
"50000, Order",,,,,
RB Tree,401,113,318,,
LLRB,318,139,775,,
BST,overflow,overflow,overflow,,
,,,,,
"500000, Rand Once",,,,,"NOTE: List only shuffled once, at initialization"
RB Tree,413,266,404,,
LLRB,327,232,573,,
BST,222,200,254,,
,,,,,
"1000000, Rand Once",,,,,
RB Tree,791,468,807,,
LLRB,790,611,1426,,
BST,651,602,752,,
,,,,,
"2000000, Rand Once",,,,,
RB Tree,1696,1246,1910,,
LLRB,1955,1471,3343,,
BST,1707,1514,1869,,
,,,,,
"500000, Rand Mult",,,,,"NOTE: List shuffled after every command, but each struct gets same shuffled list"
RB Tree,408,238,364,,
LLRB,330,201,529,,
BST,271,264,308,,
,,,,,
"1000000, Rand Mult",,,,,
RB Tree,804,492,797,,
LLRB,812,540,1253,,
BST,688,704,815,,
,,,,,
"2000000, Rand Mult",,,,,
RB Tree,1736,1337,1901,,
LLRB,1940,1342,2998,,
BST,2403,1768,2056,,
,,,,,
,"Height,250000","Height, 500000","Height, 1000000","Height, 2000000",
RB Tree,21,22,23,25,
LLRB,25,26,27,29,
BST,41,43,49,53,
,,,,,
,Line Counts,,,,
RB Tree,489,,,,
RB Tree plus Wrapper,570,,,,
LLRB sans Iterator,277,,,,
LLRB,364,,,,
